구분,보통휘발유,자동차용경유
2023년01월07일,1561.87,1704.48
2023년01월08일,1562.86,1702.48
2023년01월09일,1563.17,1698.52
2023년01월10일,1562.41,1692.23
2023년01월11일,1561.36,1685.25
2023년01월12일,1560.23,1679.22
2023년01월13일,1559.72,1674.32
2023년01월14일,1559.31,1670.38
2023년01월15일,1559.37,1668.62
2023년01월16일,1559.83,1666.13
2023년01월17일,1560.00,1662.31
2023년01월18일,1560.40,1659.03
2023년01월19일,1561.19,1656.83
2023년01월20일,1562.93,1654.96
2023년01월21일,1564.54,1653.45
2023년01월22일,1565.65,1653.11
2023년01월23일,1566.33,1652.69
2023년01월24일,1567.01,1652.10
2023년01월25일,1568.09,1651.76
2023년01월26일,1569.67,1651.15
2023년01월27일,1571.20,1650.52
2023년01월28일,1572.25,1649.66
2023년01월29일,1572.77,1649.10
2023년01월30일,1574.35,1649.16
2023년01월31일,1575.41,1648.44
2023년02월01일,1577.03,1646.96
2023년02월02일,1578.42,1645.14
2023년02월03일,1579.34,1643.39
2023년02월04일,1579.56,1641.23
2023년02월05일,1579.58,1639.92
2023년02월06일,1579.69,1638.06
2023년02월07일,1578.96,1633.74
2023년02월08일,1577.74,1628.41
2023년02월09일,1577.06,1623.81
2023년02월10일,1576.84,1620.20
2023년02월11일,1576.60,1617.10
2023년02월12일,1576.72,1615.58
2023년02월13일,1577.00,1613.09
2023년02월14일,1577.33,1608.89
2023년02월15일,1577.60,1605.31
2023년02월16일,1577.98,1601.79
2023년02월17일,1578.47,1598.09
2023년02월18일,1578.51,1594.00
2023년02월19일,1578.56,1592.13
2023년02월20일,1579.06,1589.12
2023년02월21일,1579.09,1584.87
2023년02월22일,1579.20,1581.07
2023년02월23일,1579.33,1577.10
2023년02월24일,1579.35,1573.11
2023년02월25일,1579.33,1569.92
2023년02월26일,1579.53,1568.22
2023년02월27일,1579.96,1566.21
2023년02월28일,1580.09,1563.29
2023년03월01일,1580.36,1558.86
2023년03월02일,1580.84,1556.43
2023년03월03일,1582.39,1552.27
2023년03월04일,1582.59,1552.13
2023년03월05일,1583.16,1551.21
2023년03월06일,1584.47,1550.65
2023년03월07일,1586.94,1549.96
2023년03월08일,1589.09,1549.57
2023년03월09일,1591.20,1548.95
2023년03월10일,1592.73,1548.40
2023년03월11일,1593.93,1547.61
2023년03월12일,1594.55,1547.14
2023년03월13일,1595.77,1547.39
2023년03월14일,1597.32,1546.70
2023년03월15일,1598.08,1545.59
2023년03월16일,1598.27,1544.07
2023년03월17일,1598.36,1542.55
2023년03월18일,1597.43,1539.92
2023년03월19일,1597.40,1538.75
2023년03월20일,1597.36,1537.61
2023년03월21일,1596.54,1534.79
2023년03월22일,1595.59,1531.64
2023년03월23일,1594.91,1528.85
2023년03월24일,1594.43,1527.06
2023년03월25일,1593.95,1525.16
2023년03월26일,1593.76,1524.14
2023년03월27일,1593.79,1523.17
2023년03월28일,1593.51,1521.51
2023년03월29일,1593.48,1520.39
2023년03월30일,1593.51,1519.61
2023년03월31일,1594.02,1519.08
2023년04월01일,1594.59,1518.39
2023년04월02일,1594.97,1517.94
2023년04월03일,1596.33,1518.65
2023년04월04일,1599.92,1520.42
2023년04월05일,1604.38,1522.59
2023년04월06일,1608.84,1524.51
2023년04월07일,1613.75,1526.74
2023년04월08일,1618.20,1528.41
2023년04월09일,1620.69,1529.23
2023년04월10일,1625.25,1531.87
2023년04월11일,1631.53,1534.54
2023년04월12일,1636.56,1536.79
2023년04월13일,1641.57,1538.99
2023년04월14일,1646.78,1541.45
2023년04월15일,1650.95,1542.82
2023년04월16일,1652.99,1543.61
2023년04월17일,1656.90,1545.81
2023년04월18일,1661.02,1547.22
2023년04월19일,1663.28,1547.54
2023년04월20일,1664.69,1547.22
2023년04월21일,1665.11,1546.47
2023년04월22일,1665.21,1545.18
2023년04월23일,1665.32,1544.66
2023년04월24일,1665.63,1544.10
2023년04월25일,1665.40,1542.47
2023년04월26일,1664.85,1540.75
2023년04월27일,1664.38,1538.79
2023년04월28일,1663.56,1536.21
2023년04월29일,1662.90,1534.15
2023년04월30일,1662.79,1533.53
2023년05월01일,1662.48,1532.25
2023년05월02일,1662.00,1530.74
2023년05월03일,1660.30,1527.07
2023년05월04일,1658.41,1523.50
2023년05월05일,1655.88,1518.52
2023년05월06일,1654.75,1516.28
2023년05월07일,1654.10,1514.91
2023년05월08일,1652.65,1511.95
2023년05월09일,1649.47,1506.13
2023년05월10일,1646.12,1500.50
2023년05월11일,1642.41,1494.38
2023년05월12일,1638.59,1488.00
2023년05월13일,1635.28,1482.61
2023년05월14일,1634.13,1480.29
2023년05월15일,1631.17,1475.17
2023년05월16일,1627.13,1468.11
2023년05월17일,1623.64,1462.36
2023년05월18일,1620.70,1457.55
2023년05월19일,1617.20,1452.05
2023년05월20일,1614.67,1448.03
2023년05월21일,1613.79,1446.11
2023년05월22일,1611.88,1443.05
2023년05월23일,1609.41,1438.80
2023년05월24일,1607.22,1435.21
2023년05월25일,1605.29,1431.79
2023년05월26일,1603.52,1429.02
2023년05월27일,1601.70,1425.82
2023년05월28일,1601.16,1424.71
2023년05월29일,1600.67,1423.87
2023년05월30일,1599.59,1422.28
2023년05월31일,1598.10,1420.03
2023년06월01일,1595.29,1415.52
2023년06월02일,1593.28,1412.71
2023년06월03일,1591.23,1409.89
2023년06월04일,1590.68,1408.66
2023년06월05일,1590.06,1407.99
2023년06월06일,1589.04,1406.22
2023년06월07일,1588.04,1404.82
2023년06월08일,1586.75,1402.80
2023년06월09일,1585.82,1401.31
2023년06월10일,1584.79,1399.69
2023년06월11일,1584.46,1398.96
2023년06월12일,1583.99,1398.40
2023년06월13일,1582.58,1396.52
2023년06월14일,1581.01,1394.46
2023년06월15일,1579.85,1392.98
2023년06월16일,1578.45,1391.28
2023년06월17일,1577.61,1389.86
2023년06월18일,1577.33,1389.19
2023년06월19일,1576.80,1388.98
2023년06월20일,1575.72,1387.72
2023년06월21일,1574.90,1386.45
2023년06월22일,1574.15,1385.70
2023년06월23일,1573.52,1385.12
2023년06월24일,1572.97,1384.07
2023년06월25일,1572.75,1383.65
2023년06월26일,1572.73,1383.50
2023년06월27일,1572.08,1382.90
2023년06월28일,1571.56,1382.11
2023년06월29일,1571.13,1381.56
2023년06월30일,1570.70,1381.17
2023년07월01일,1569.79,1379.99
2023년07월02일,1569.52,1379.44
2023년07월03일,1569.43,1379.61
2023년07월04일,1569.16,1379.09
2023년07월05일,1569.00,1378.91
2023년07월06일,1568.88,1378.61
2023년07월07일,1569.23,1379.07
2023년07월08일,1569.71,1379.47
2023년07월09일,1570.00,1379.53
2023년07월10일,1571.07,1380.74
2023년07월11일,1572.03,1381.71
2023년07월12일,1573.08,1383.34
2023년07월13일,1574.55,1384.80
2023년07월14일,1576.89,1387.20
2023년07월15일,1578.77,1389.39
2023년07월16일,1579.82,1390.35
2023년07월17일,1581.74,1392.71
2023년07월18일,1583.72,1394.77
2023년07월19일,1585.45,1396.95
2023년07월20일,1587.55,1399.58
2023년07월21일,1589.76,1402.10
2023년07월22일,1591.77,1403.99
2023년07월23일,1592.85,1404.85
2023년07월24일,1595.36,1407.77
2023년07월25일,1598.62,1411.16
2023년07월26일,1602.74,1415.32
2023년07월27일,1607.11,1419.93
2023년07월28일,1612.76,1425.59
2023년07월29일,1619.33,1431.45
2023년07월30일,1622.78,1434.38
2023년07월31일,1627.38,1439.18
2023년08월01일,1638.23,1450.36
2023년08월02일,1647.72,1460.58
2023년08월03일,1658.01,1472.50
2023년08월04일,1667.53,1484.58
2023년08월05일,1676.64,1496.74
2023년08월06일,1681.14,1502.55
2023년08월07일,1687.86,1512.45
2023년08월08일,1696.23,1527.48
2023년08월09일,1702.56,1539.41
2023년08월10일,1707.13,1548.16
2023년08월11일,1712.63,1559.17
2023년08월12일,1717.67,1568.97
